ent ID,IRI,Label,OWL Type,Source Ontology,Current IRI (to deprecate),Status,BFO/CCO Parent IRI,Definition (brief),Migration Target,Date Added,Notes,PURL to Register,Old PURL to Update,PURL Action,"PURL Target URL
(where ent IRI redirects to)"
ent00000001,https://w3id.org/cco-domains/domains/PersonOntology#ent00000001,Full Name,owl:Class,PersonOntology,https://purl.org/cco/person/FullName,Active,https://purl.org/cco/ont00001461,A Proper Name that designates a Person using their complete name.,,2026-04-23 00:00:00,,https://purl.org/cco/ent00000001,—,Register new ent PURL → ontology file,https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000002,https://w3id.org/cco-domains/domains/PersonOntology#ent00000002,Given Name,owl:Class,PersonOntology,https://purl.org/cco/person/GivenName,Active,https://purl.org/cco/ont00001461,A Proper Name component designating the given (first) name of a Person.,,2026-04-23 00:00:00,,https://purl.org/cco/ent00000002,purl.org/cco/person/GivenName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000003,https://w3id.org/cco-domains/domains/PersonOntology#ent00000003,Additional Name,owl:Class,PersonOntology,https://purl.org/cco/person/AdditionalName,Active,https://purl.org/cco/ont00001461,A Proper Name component designating a middle or additional name of a Person.,,2026-05-01 00:00:00,,https://purl.org/cco/ent00000003,purl.org/cco/person/AdditionalName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000004,https://w3id.org/cco-domains/domains/PersonOntology#ent00000004,Family Name,owl:Class,PersonOntology,https://purl.org/cco/person/FamilyName,Active,https://purl.org/cco/ont00001461,A Proper Name component designating the family (last) name of a Person.,,2026-04-28 00:00:00,,https://purl.org/cco/ent00000004,purl.org/cco/person/FamilyName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000005,https://w3id.org/cco-domains/domains/PersonOntology#ent00000005,Suffix,owl:Class,PersonOntology,https://purl.org/cco/person/Suffix,Active,https://purl.org/cco/ont00001461,"A Proper Name component designating an honorific suffix of a Person (e.g., Jr., PhD).",,2026-05-01 00:00:00,,https://purl.org/cco/ent00000005,purl.org/cco/person/Suffix,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000006,https://w3id.org/cco-domains/domains/PersonOntology#ent00000006,Alternate Name,owl:Class,PersonOntology,https://purl.org/cco/person/AlternateName,Active,https://purl.org/cco/ont00001461,"A Designative Name that designates a Person by an alias, pseudonym, or stage name.",,2026-04-29 00:00:00,,https://purl.org/cco/ent00000006,purl.org/cco/person/AlternateName,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000007,https://w3id.org/cco-domains/domains/PersonOntology#ent00000007,National Person Identifier,owl:Class,PersonOntology,https://purl.org/cco/person/NationalPersonIdentifier,Removed,https://purl.org/cco/ont00000077,A Code Identifier assigned by a national authority to uniquely identify a Person.,,2026-02-22,"Removed from PersonOntology v5-5 (2026-05-05, merged to Main 2026-07-10); SSN reparented to Person Identifier (ent00000062)",https://purl.org/cco/ent00000007,purl.org/cco/person/NationalPersonIdentifier,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000008,https://w3id.org/cco-domains/domains/PersonOntology#ent00000008,Social Security Number,owl:Class,PersonOntology,https://purl.org/cco/person/SocialSecurityNumber,Active,https://purl.org/cco/ent00000062,A National Person Identifier assigned by the US Social Security Administration.,,2026-04-20 00:00:00,subclass of NationalPersonIdentifier; Parent reparented ent00000007 -> ent00000062 (Person Identifier) in v5-5,https://purl.org/cco/ent00000008,purl.org/cco/person/SocialSecurityNumber,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PersonOntology.ttl
ent00000009,https://w3id.org/cco-domains/domains/AddressOntology#ent00000009,Postal Address,owl:Class,AddressOntology,https://purl.org/cco/postal-address/PostalAddress,Active,cco:ent00000310,A Designative Information Content Entity that designates a location for postal delivery.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000009,purl.org/cco/postal-address/PostalAddress,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
ent00000010,https://w3id.org/cco-domains/domains/AddressOntology#ent00000010,US Postal Address,owl:Class,AddressOntology,https://purl.org/cco/postal-address/USPostalAddress,Active,cco:ent00000310,A Postal Address conforming to United States Postal Service format.,,2026-06-15 00:00:00,,https://purl.org/cco/ent00000010,purl.org/cco/postal-address/USPostalAddress,"1. Register new ent PURL
2. Update old PURL → redirect to ent IRI",https://raw.githubusercontent.com/ethical-freelancing/EFO/main/ontology/domains/PostalAddressOntology.ttl
