ent ID,IRI,Label,OWL Type,Source Ontology,Parent IRI,Definition,Status,Date Added,Notes
ent00000001,https://purl.org/cco/ent00000001,Full Name,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,A Proper Name that designates a Person using their complete name.,Active,2/22/26,
ent00000002,https://purl.org/cco/ent00000002,Given Name,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,A Proper Name component designating the given (first) name of a Person.,Active,2/22/26,
ent00000003,https://purl.org/cco/ent00000003,Additional Name,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,A Proper Name component designating a middle or additional name of a Person.,Active,2/22/26,
ent00000004,https://purl.org/cco/ent00000004,Family Name,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,A Proper Name component designating the family (last) name of a Person.,Active,2/22/26,
ent00000005,https://purl.org/cco/ent00000005,Suffix,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,"A Proper Name component designating an honorific suffix of a Person (e.g., Jr., PhD).",Active,2/22/26,
ent00000006,https://purl.org/cco/ent00000006,Alternate Name,owl:Class,PersonOntology,https://purl.org/cco/ont00001461,"A Designative Name that designates a Person by an alias, pseudonym, or stage name.",Active,2/22/26,
ent00000007,https://purl.org/cco/ent00000007,National Person Identifier,owl:Class,PersonOntology,https://purl.org/cco/ont00000077,A Code Identifier assigned by a national authority to uniquely identify a Person.,Active,2/22/26,
ent00000008,https://purl.org/cco/ent00000008,Social Security Number,owl:Class,PersonOntology,https://purl.org/cco/ent00000007,A National Person Identifier assigned by the US Social Security Administration.,Active,2/22/26,subclass of NationalPersonIdentifier
ent00000009,https://purl.org/cco/ent00000009,Postal Address,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00001066,A Designative Information Content Entity that designates a location for postal delivery.,Active,2/22/26,
ent00000010,https://purl.org/cco/ent00000010,US Postal Address,owl:Class,PostalAddressOntology,https://purl.org/cco/ent00000009,A Postal Address conforming to United States Postal Service format.,Active,2/22/26,
ent00000011,https://purl.org/cco/ent00000011,Street Address,owl:Class,PostalAddressOntology,https://purl.org/cco/ent00000009,A component of a Postal Address designating the street-level location.,Active,2/22/26,
ent00000012,https://purl.org/cco/ent00000012,City Name,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00001461,A Proper Name that designates a city within a Postal Address.,Active,2/22/26,
ent00000013,https://purl.org/cco/ent00000013,State Name,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00001461,A Proper Name that designates a state or province within a Postal Address.,Active,2/22/26,
ent00000014,https://purl.org/cco/ent00000014,Country Name,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00001461,A Proper Name that designates a country within a Postal Address.,Active,2/22/26,
ent00000015,https://purl.org/cco/ent00000015,Postal Code,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00000077,A Code Identifier designating a postal delivery zone.,Active,2/22/26,
ent00000016,https://purl.org/cco/ent00000016,Address Designation,owl:Class,PostalAddressOntology,http://purl.obolibrary.org/obo/BFO_0000015,A Process in which a Person is associated with a Postal Address during a temporal interval.,Active,2/22/26,Temporal address tracking; BFO Process subclass
ent00000017,https://purl.org/cco/ent00000017,has start date,owl:DatatypeProperty,PostalAddressOntology,,Relates an Address Designation to the date on which it began.,Active,2/22/26,range: xsd:date
ent00000018,https://purl.org/cco/ent00000018,has end date,owl:DatatypeProperty,PostalAddressOntology,,Relates an Address Designation to the date on which it ended; absent if current address.,Active,2/22/26,range: xsd:date; optional — absence = current
ent00000046,https://purl.org/cco/ent00000046,Birthdate,owl:Class,PersonOntology,https://purl.org/cco/ont00001340,A Calendar Date Identifier that designates the date on which a Person was born.,Active,3/17/26,RFC 9553 §2.8.1; corrects Claude Code's wrong parent (Quality)
ent00000056,https://purl.org/cco/ent00000056,Postal Zone,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00000460,A Local Administrative Region delimiting delivery points within a postal system.,Active,3/17/26,Geographic region designated by a PostalCode; migrated from Orphan
ent00000057,https://purl.org/cco/ent00000057,Title,owl:Class,PersonOntology,https://purl.org/cco/ont00000003,"A Designative Name component preceding the given name (Mr., Dr., Prof.).",Active,3/17/26,RFC 9553 §2.2.1; distinct from Suffix which follows family name
ent00000058,https://purl.org/cco/ent00000058,Surname2,owl:Class,PersonOntology,https://purl.org/cco/ont00000003,A secondary surname used in naming conventions where a person bears two family names.,Active,3/17/26,RFC 9553 §2.2.1; maternal surname in Spanish/Portuguese naming
ent00000059,https://purl.org/cco/ent00000059,Country Code,owl:Class,PostalAddressOntology,https://purl.org/cco/ont00000077,A Code Identifier designating a country using ISO 3166-1 standardized abbreviation.,Active,3/17/26,RFC 9553 §2.5.1; distinct from CountryName (ent00000014) which is a Proper Name
ent00000060,https://purl.org/cco/ent00000060,US,owl:NamedIndividual,PostalAddressOntology,https://purl.org/cco/ent00000059,"ISO 3166-1 code designating the United States of America. altLabels: USA, 840.",Active,3/17/26,First Named Individual in registry — demonstrates ent scheme covers instances too
ent00000061,https://purl.org/cco/ent00000061,Has Birthday,owl:ObjectProperty,PersonOntology,,Each instance of Person has an instance of Birthdate,Active,4/18/26,
